"name","votants17","Cs","JxCat","ERC","PSC","CatComu","CUP","PP","pop","indepe17","noindepe17","votants15","indepe15","noindepe15","id","partit","PtgCs","PtgJxCat","PtgERC","PtgPSC","PtgCatComu","PtgCUP","PtgPP","PtgIndepe","PtgNoIndepe","PtgIndepe15","PtgNoIndepe15","Dif","Dif15","CanviPast","BlocDifPast","CanviSenseSigne"
"Alt Camp                                ",26236,5172,8083,6566,2517,1123,1426,883,43995,16075,8572,25087,15419,7250,1,"JxCat",19.7133709406922,30.8088123189511,25.0266808964781,9.5936880622046,4.28037810641866,5.43527976825736,3.36560451288306,61.2707729836865,32.6726635157798,61.4621118507594,28.8994299836569,28.5981094679067,32.5626818671025,-3.96457239919579,"more pro-union",3.96457239919579
"Alt Empordà                             ",67825,16662,20697,15018,5846,2655,3113,2542,139705,38828,25050,63813,37634,20824,2,"JxCat",24.5661629192776,30.5152967194987,22.1422779211205,8.61924069295982,3.91448580906745,4.58975304091412,3.74788057500922,57.2473276815334,36.9332841872466,58.9754438750725,32.6328491059815,20.3140434942868,26.3425947690909,-6.02855127480417,"more pro-union",6.02855127480417
"Alt Penedès                             ",65129,11403,19607,16463,6698,3734,4139,1945,106930,40209,20046,61587,38181,16917,3,"JxCat",17.5083296227487,30.1048687988454,25.277526140429,10.2842051927713,5.73323711403522,6.35507991831596,2.98638087487909,61.7374748575903,30.7789156903991,61.9952262652833,27.4684592527644,30.9585591671913,34.5267670125189,-3.56820784532761,"more pro-union",3.56820784532761
"Alt Urgell                              ",11745,1805,4011,3073,1117,413,669,484,20296,7753,3406,11399,7599,2787,4,"JxCat",15.3682418050234,34.1507024265645,26.164325244785,9.51042997020009,3.51638995317156,5.69604086845466,4.12090251170711,66.0110685398042,28.9995742869306,66.6637424335468,24.4495131151855,37.0114942528736,42.2142293183613,-5.2027350654877,"more pro-union",5.2027350654877
"Alta Ribagorça                          ",2319,358,577,620,323,164,174,58,3827,1371,739,2269,1314,687,5,"ERC",15.4376886589047,24.8814144027598,26.7356619232428,13.9284174213023,7.07201379905131,7.50323415265201,2.501078050884,59.1203104786546,31.867184131091,57.9109739973557,30.2776553547818,27.2531263475636,27.6333186425738,-0.380192295010211,"more pro-union",0.380192295010211
"Anoia                                   ",72695,17829,17880,16174,8980,4528,3338,2399,118277,37392,29208,68108,35349,24504,6,"JxCat",24.525758305248,24.5959144370314,22.2491230483527,12.3529816356008,6.22876401403123,4.59178760575005,3.30008941467776,51.4368250911342,40.1788293555265,51.9013919069713,35.9781523462736,11.2579957356077,15.9232395606977,-4.66524382509004,"more pro-union",4.66524382509004
"Aran                                    ",5265,1745,755,676,1036,354,174,381,9985,1605,3162,4904,1516,2763,39,"Cs",33.1433998100665,14.3399810066477,12.8395061728395,19.6771130104463,6.72364672364672,3.30484330484331,7.23646723646724,30.4843304843305,60.0569800569801,30.9135399673736,56.3417618270799,-29.5726495726496,-25.4282218597064,-4.1444277129432,"more pro-union",4.1444277129432
"Bages                                   ",106651,20133,33265,26126,11062,5461,5605,3241,175095,64996,34436,100637,61527,28958,7,"JxCat",18.8774601269561,31.1905186074205,24.4967229561842,10.3721484092976,5.12043956456104,5.25545939559873,3.03888383606342,60.9427009592034,32.2884923723172,61.1375537824061,28.7747051283325,28.6542085868862,32.3628486540735,-3.70864006718735,"more pro-union",3.70864006718735
"Baix Camp                               ",104220,31335,23294,22324,11377,4933,4415,4601,187471,50033,47313,97953,47611,40374,8,"Cs",30.0662061024755,22.3507963922472,21.4200729226636,10.9163308386106,4.73325657263481,4.23623104970255,4.41469967376703,48.0071003646133,45.3972366148532,48.6059640848162,41.2177268690086,2.60986374976013,7.38823721580758,-4.77837346604745,"more pro-union",4.77837346604745
"Baix Ebre                               ",42262,6406,11948,14016,3816,1886,1673,1767,78180,27637,11989,40264,24786,11277,9,"ERC",15.1578249964507,28.2712602337798,33.1645449813071,9.02938810278737,4.46263783067531,3.9586389664474,4.18106100042591,65.3944441815342,28.368274099664,61.5587124975164,28.0076495132128,37.0261700818702,33.5510629843036,3.47510709756665,"more pro-indy",3.47510709756665
"Baix Empordà                            ",71094,14622,24403,16031,6791,2888,3311,1877,132906,43745,23290,67503,42260,19587,10,"JxCat",20.5671364672124,34.3249781978789,22.5490196078431,9.55214223422511,4.06222747348581,4.65721439221313,2.64016654007371,61.5312121979351,32.7594452415112,62.6046249796305,29.016488156082,28.7717669564239,33.5881368235486,-4.81636986712468,"more pro-union",4.81636986712468
"Baix Llobregat                          ",494942,156114,55928,92645,95048,47823,15066,20963,813996,163639,272125,458072,148794,230175,11,"Cs",31.541877634147,11.2999098884314,18.7183548779453,19.2038663116082,9.66234427468269,3.04399303352716,4.23544576940328,33.0622577999038,54.9811897151585,32.4826664803786,50.2486508671126,-21.9189319152547,-17.765984386734,-4.15294752852075,"more pro-union",4.15294752852075
"Baix Penedès                            ",55297,17785,9106,10677,8275,3727,1907,2368,100850,21690,28428,51013,19870,24171,12,"Cs",32.1626851366259,16.467439463262,19.3084615801942,14.9646454599707,6.73996781018862,3.44865001717996,4.28232996365083,39.2245510606362,51.4096605602474,38.9508556642424,47.3820398721894,-12.1851094996112,-8.43118420794699,-3.7539252916642,"more pro-union",3.7539252916642
"Barcelonès                              ",1261090,332080,209138,246072,203458,118424,58046,70344,2248227,513256,605882,1198964,497261,519374,13,"Cs",26.332775614746,16.583907572021,19.5126438239935,16.1335035564472,9.39060653878787,4.60284357183072,5.57803170273335,40.6993949678453,48.0443108739265,41.4742227456371,43.3185650278073,-7.34491590608124,-1.84434228217027,-5.50057362391097,"more pro-union",5.50057362391097
"Berguedà                                ",25745,2441,11005,7111,1584,753,1876,636,39013,19992,4661,25143,19435,3796,14,"JxCat",9.48145270926394,42.7461643037483,27.6208972616042,6.15265100019421,2.92483977471354,7.28685181588658,2.47038259856283,77.6539133812391,18.104486308021,77.2978562621803,15.0976414906734,59.5494270732181,62.200214771507,-2.65078769828889,"more pro-union",2.65078769828889
"Cerdanya                                ",10254,1913,3644,2657,671,291,544,348,17623,6845,2932,9906,6673,2485,15,"JxCat",18.656134191535,35.5373512775502,25.9118392822313,6.54378779013068,2.83791691047396,5.30524673298225,3.39379754242247,66.7544372927638,28.5937195240882,67.3632142136079,25.0858065818696,38.1607177686756,42.2774076317383,-4.1166898630627,"more pro-union",4.1166898630627
"Conca de Barberà                        ",12657,1369,5022,3780,865,382,705,301,20036,9507,2535,12314,9248,2116,16,"JxCat",10.8161491664691,39.677648731927,29.8648968949988,6.83416291380264,3.01809275499723,5.57004029390851,2.37813067867583,75.1125859208343,20.0284427589476,75.1015104758811,17.1836933571545,55.0841431618867,57.9178171187266,-2.83367395683995,"more pro-union",2.83367395683995
"Garraf                                  ",84488,23632,15432,18256,12063,6511,4190,2777,147504,37878,38472,78116,35487,32215,17,"Cs",27.9708360950668,18.2653157844901,21.6078022914497,14.2777672568886,7.70641984660543,4.95928415869709,3.28685730517943,44.8324022346369,45.5354606571347,45.4285933739567,41.239950842337,-0.703058422497868,4.18864253161964,-4.89170095411751,"more pro-union",4.89170095411751
"Garrigues                               ",11770,1095,4881,3649,649,342,640,358,18975,9170,2102,11748,8976,1871,18,"JxCat",9.30331350892098,41.4698385726423,31.0025488530161,5.51401869158879,2.90569243840272,5.4375531011045,3.04163126593033,77.909940526763,17.8589634664401,76.4044943820225,15.9261150834185,60.0509770603229,60.478379298604,-0.427402238281161,"more pro-union",0.427402238281161
"Garrotxa                                ",33492,3342,16252,7773,1980,987,2052,704,56184,26077,6026,32473,25357,4924,19,"JxCat",9.97850232891437,48.5250209005136,23.2085274095306,5.91185954854891,2.94697241132211,6.12683625940523,2.10199450615072,77.8603845694494,17.992356383614,78.0864102485141,15.1633664890832,59.8680281858354,62.9230437594309,-3.05501557359548,"more pro-union",3.05501557359548
"Gironès                                 ",101072,18518,38652,20470,8659,3903,6595,2568,188083,65717,29745,95109,62582,24582,20,"JxCat",18.3215925280988,38.2420452746557,20.2528890296027,8.56716004432484,3.86160360930822,6.52505144847238,2.54076302042109,65.0199857527307,29.4295155928447,65.8002922962075,25.846134435227,35.590470159886,39.9541578609805,-4.36368770109453,"more pro-union",4.36368770109453
"Maresme                                 ",267299,65253,66364,61410,31642,16818,11682,9339,444046,139456,106234,250836,131963,89636,21,"JxCat",24.4119880732812,24.8276274883183,22.9742722569108,11.8376799015335,6.29183049693414,4.37038672048904,3.49384023135141,52.1722864657182,39.7435082061661,52.6092745857851,35.7349024860865,12.428778259552,16.8743720996986,-4.44559384014657,"more pro-union",4.44559384014657
"Moianès                                 ",8544,890,3347,2538,502,313,694,147,13279,6579,1539,8184,6287,1273,42,"JxCat",10.4166666666667,39.1736891385768,29.7050561797753,5.87546816479401,3.66338951310861,8.12265917602996,1.72050561797753,77.001404494382,18.0126404494382,76.8206256109482,15.5547409579668,58.9887640449438,61.2658846529814,-2.27712060803761,"more pro-union",2.27712060803761
"Montsià                                 ",36775,6155,8207,13180,3669,1819,1378,1740,67491,22765,11564,34601,20290,10682,22,"ERC",16.736913664174,22.3167912984364,35.8395649218219,9.9768864717879,4.94629503738953,3.74711080897349,4.73147518694766,61.9034670292318,31.4452753229096,58.6399237016271,30.8719401173376,30.4581917063222,27.7679835842895,2.69020812203276,"more pro-indy",2.69020812203276
"Noguera                                 ",22202,2824,8172,6667,1512,589,1041,1023,38726,15880,5359,21653,15191,4636,23,"JxCat",12.7195748130799,36.8074948202865,30.028826231871,6.81019727952437,2.65291415187821,4.68876677776777,4.60769300063057,71.5250878299252,24.1374650932348,70.1565602918764,21.4104281161964,47.3876227366904,48.74613217568,-1.35850943898966,"more pro-union",1.35850943898966
"Osona                                   ",94360,10823,43384,23416,5508,2761,5568,1709,156572,72368,18040,90585,70137,14254,24,"JxCat",11.4699025010598,45.977108944468,24.8155998304366,5.8372191606613,2.92602797795676,5.90080542602798,1.81114879186096,76.6935142009326,19.118270453582,77.4267262791853,15.7354970469725,57.5752437473506,61.6912292322128,-4.11598548486228,"more pro-union",4.11598548486228
"Pallars Jussà                           ",7830,856,3143,2066,640,298,504,214,13280,5713,1710,7683,5634,1407,25,"JxCat",10.9323116219668,40.1404853128991,26.3856960408685,8.17369093231162,3.8058748403576,6.4367816091954,2.7330779054917,72.962962962963,21.8390804597701,73.3307301835221,18.313158922296,51.1238825031928,55.0175712612261,-3.89368875803324,"more pro-union",3.89368875803324
"Pallars Sobirà                          ",4397,302,1541,1469,278,138,491,92,6947,3501,672,4345,3386,592,26,"JxCat",6.86831930861951,35.0466226972936,33.4091425972254,6.32249260859677,3.13850352513077,11.1667045712986,2.09233568342051,79.6224698658176,15.2831476006368,77.9286536248562,13.6248561565017,64.3393222651808,64.3037974683544,0.0355247968263797,"more pro-indy",0.0355247968263797
"Pla d'Urgell                            ",20262,2448,8384,5525,1409,580,879,719,36614,14788,4576,19698,14273,3824,27,"JxCat",12.081729345573,41.3779488698056,27.2677919257724,6.95390385944132,2.86250123383674,4.33816997334913,3.54851446056658,72.983910768927,22.5841476655809,72.4591329068941,19.4131383896842,50.3997631033462,53.0459945172099,-2.6462314138637,"more pro-union",2.6462314138637
"Pla de l'Estany                         ",18968,1543,9718,4477,785,483,1347,379,31738,15542,2707,18156,15027,2094,28,"JxCat",8.13475326866301,51.2336566849431,23.6029101644876,4.13854913538591,2.54639392661324,7.10143399409532,1.99810206663855,81.9380008435259,14.2714044706875,82.7660277594184,11.5333773959022,67.6665963728385,71.2326503635162,-3.56605399067772,"more pro-union",3.56605399067772
"Priorat                                 ",6252,433,2340,2161,392,166,544,137,9345,5045,962,6181,4897,778,29,"JxCat",6.92578374920026,37.4280230326296,34.5649392194498,6.26999360204735,2.6551503518874,8.70121561100448,2.191298784389,80.6941778630838,15.3870761356366,79.2266623523702,12.5869600388287,65.3071017274472,66.6397023135415,-1.33260058609429,"more pro-union",1.33260058609429
"Ribera d'Ebre                           ",13527,1527,4241,4764,1124,509,675,458,22203,9680,3109,13285,9167,2848,30,"ERC",11.2885340430251,31.3521105936276,35.218451984919,8.30930731130332,3.76284468100835,4.99001996007984,3.38582095069121,71.5605825386264,22.9836623050196,69.0026345502446,21.4377117049304,48.5769202336069,47.5649228453143,1.01199738829259,"more pro-indy",1.01199738829259
"Ripollès                                ",16618,1981,7543,4008,1159,496,810,371,24999,12361,3511,16413,12113,3071,31,"JxCat",11.9208087615838,45.3905403779035,24.1184258033458,6.97436514622698,2.98471536887712,4.8742327596582,2.23251895534962,74.3831989409074,21.1276928631604,73.8012551026625,18.7107780417961,53.255506077747,55.0904770608664,-1.83497098311937,"more pro-union",1.83497098311937
"Segarra                                 ",11670,1557,4499,3124,752,347,714,453,22736,8337,2762,11145,8022,2194,32,"JxCat",13.3419023136247,38.5518423307626,26.7694944301628,6.44387317909169,2.97343616109683,6.11825192802057,3.88174807197943,71.439588688946,23.6675235646958,71.978465679677,19.6859578286227,47.7720651242502,52.2925078510543,-4.52044272680407,"more pro-union",4.52044272680407
"Segrià                                  ",111832,24033,29710,27825,12125,5170,4865,6064,208059,62400,42222,105228,56747,36658,33,"JxCat",21.4902711209672,26.5666356677874,24.8810716074111,10.8421560912798,4.62300593747764,4.35027541311968,5.42241934330067,55.7979826883182,37.7548465555476,53.9276618390542,34.8367354696469,18.0431361327706,19.0909263694074,-1.04779023663679,"more pro-union",1.04779023663679
"Selva                                   ",90139,21047,28386,18187,9282,4759,3876,2763,167837,50449,33092,85209,48022,27249,34,"JxCat",23.3494935599463,31.4913633388433,20.1766161151111,10.2974295255106,5.27962369229745,4.30002551614728,3.06526586716072,55.9680049701017,36.7121889526176,56.3578964663357,31.979016301095,19.2558160174841,24.3788801652408,-5.12306414775664,"more pro-union",5.12306414775664
"Solsonès                                ",8216,896,3234,2448,440,234,578,260,13360,6260,1596,7811,5995,1174,35,"JxCat",10.9055501460565,39.3622200584226,29.7955209347614,5.3554040895813,2.84810126582278,7.0350535540409,3.16455696202532,76.1927945472249,19.4255111976631,76.7507361413391,15.0300857764691,56.7672833495618,61.7206503648701,-4.95336701530822,"more pro-union",4.95336701530822
"Tarragonès                              ",136995,48998,20997,24591,19110,8657,4467,7308,250488,50055,75416,127979,46583,64864,36,"Cs",35.7662688419285,15.3268367458666,17.9502901565751,13.9494142121975,6.31920873024563,3.26070294536297,5.33450125917004,36.5378298478047,55.0501843132961,36.3989404511678,50.6833152314052,-18.5123544654914,-14.2843747802374,-4.22797968525405,"more pro-union",4.22797968525405
"Terra Alta                              ",7428,1039,2254,2252,625,290,369,462,11634,4875,2126,7274,4685,1747,37,"JxCat",13.9876144318794,30.3446418955304,30.3177167474421,8.41410877759828,3.9041464728056,4.96768982229402,6.21970920840065,65.6300484652666,28.6214324178783,64.407478691229,24.0170470167721,37.0086160473883,40.390431674457,-3.3818156270687,"more pro-union",3.3818156270687
"Urgell                                  ",20208,2459,7833,5932,1202,621,1162,686,36028,14927,4347,19403,14159,3599,38,"JxCat",12.1684481393508,38.7618764845606,29.3547110055424,5.94813935075218,3.07304038004751,5.75019794140934,3.39469517022961,73.8667854315123,21.5112826603325,72.9732515590373,18.5486780394784,52.3555027711797,54.4245735195588,-2.0690707483791,"more pro-union",2.0690707483791
"Vallès Occidental                       ",548356,159215,92240,109034,84461,49283,21891,20058,910031,223165,263734,513213,208891,221566,40,"Cs",29.0349699830037,16.8211891544909,19.883798116552,15.4025851818891,8.98740963899365,3.99211461167563,3.65784271531633,40.6971018827185,48.0953978802092,40.7025932702406,43.1723280587203,-7.39829599749068,-2.46973478847964,-4.92856120901104,"more pro-union",4.92856120901104
"Vallès Oriental                         ",247534,63956,51889,54750,34352,18483,10493,8532,403259,117132,106840,230151,108740,89750,41,"Cs",25.8372587200142,20.9623728457505,22.1181736650319,13.8776895295192,7.46685303837049,4.23901363045077,3.44679922758086,47.3195601412331,43.1617474771143,47.2472420280598,38.996137318543,4.15781266411887,8.2511047095168,-4.09329204539792,"more pro-union",4.09329204539792
